datetime,type,period
2018-05-03 17:54:43.045,IN,after jogging
2018-05-03 17:54:43.946,OUT,after jogging
2018-05-03 17:54:45.748,IN,after jogging
2018-05-03 17:54:46.948,OUT,after jogging
2018-05-03 19:47:29.160,IN,night
2018-05-03 19:47:30.664,OUT,night
2018-05-03 19:47:32.466,IN,night
2018-05-03 19:47:34.268,OUT,night
2018-05-03 19:47:36.369,IN,night
2018-05-03 19:47:38.171,OUT,night
2018-05-03 19:47:39.974,IN,night
2018-05-03 19:47:41.776,OUT,night
2018-05-03 19:47:43.877,IN,night
2018-05-03 19:47:45.679,OUT,night
2018-05-03 19:47:48.084,IN,night
2018-05-03 19:47:49.583,OUT,night
2018-05-03 19:47:51.987,IN,night
2018-05-03 19:47:53.490,OUT,night
2018-05-03 19:47:55.592,IN,night
2018-05-03 19:47:56.493,OUT,night
2018-05-03 19:47:58.893,IN,night
2018-05-03 19:48:00.396,OUT,night
2018-05-03 19:48:02.497,IN,night
2018-05-03 19:48:03.398,OUT,night
2018-05-03 19:48:05.504,IN,night
2018-05-03 19:48:06.704,OUT,night
2018-05-03 19:48:08.506,IN,night
2018-05-03 19:48:11.807,IN,night
2018-05-03 19:48:12.709,OUT,night
2018-05-03 19:48:15.113,IN,night
2018-05-03 19:48:16.616,OUT,night
2018-05-03 19:48:18.418,IN,night
2018-05-03 19:48:19.319,OUT,night
2018-05-03 19:48:21.421,IN,night
2018-05-03 19:48:23.223,OUT,night
2018-05-03 19:48:24.722,IN,night
2018-05-03 19:48:27.126,OUT,night
2018-05-03 19:48:28.326,IN,night
2018-05-03 19:48:29.830,OUT,night
2018-05-03 19:48:31.931,IN,night
2018-05-03 19:48:33.135,OUT,night
2018-05-03 19:48:35.535,IN,night
2018-05-03 19:48:37.039,OUT,night
2018-05-03 19:48:39.140,IN,night
2018-05-03 19:48:40.643,OUT,night
2018-05-03 19:48:42.744,IN,night
2018-05-03 19:48:44.546,OUT,night
2018-05-03 19:48:46.951,IN,night
2018-05-03 19:48:48.450,OUT,night
2018-05-03 19:48:51.755,IN,night
2018-05-03 19:48:52.955,OUT,night
2018-05-03 19:48:55.360,IN,night
2018-05-03 19:48:56.859,OUT,night
2018-05-03 19:48:59.263,IN,night
2018-05-03 19:49:00.164,OUT,night
2018-05-03 19:49:02.868,IN,night
2018-05-03 19:49:04.969,OUT,night
2018-05-03 19:49:06.169,IN,night
2018-05-03 19:49:08.872,OUT,night
2018-05-03 19:49:10.076,IN,night
2018-05-03 19:49:12.178,OUT,night
2018-05-03 19:49:13.681,IN,night
2018-05-03 19:49:16.384,OUT,night
2018-05-03 19:49:20.288,OUT,night
2018-05-03 19:49:22.389,IN,night
2018-05-03 19:49:24.490,OUT,night
2018-05-03 19:49:26.595,IN,night
2018-05-03 19:49:28.398,OUT,night
2018-05-03 19:49:30.499,IN,night
2018-05-03 19:49:31.400,OUT,night
2018-05-03 19:49:33.800,IN,night
2018-05-03 19:49:35.303,OUT,night
2018-05-03 19:49:36.504,IN,night
2018-05-03 19:49:38.609,OUT,night
2018-05-03 19:49:40.411,IN,night
2018-05-03 19:49:42.811,OUT,night
2018-05-03 19:49:43.413,IN,night
2018-05-03 19:49:46.117,OUT,night
2018-05-03 19:49:47.919,IN,night
2018-05-03 19:49:49.418,OUT,night
2018-05-03 19:49:51.822,IN,night
2018-05-03 19:49:52.724,OUT,night
2018-05-03 19:49:55.726,IN,night
2018-05-03 19:49:56.930,OUT,night
2018-05-03 19:49:59.330,IN,night
2018-05-03 19:50:01.432,OUT,night
2018-05-03 19:50:02.333,IN,night
2018-05-03 19:50:05.036,OUT,night
2018-05-03 19:50:05.937,IN,night
2018-05-03 19:50:07.739,OUT,night
2018-05-03 19:50:10.746,IN,night
2018-05-03 19:50:15.550,IN,night
2018-05-03 19:50:20.355,OUT,night
2018-05-03 19:50:21.555,IN,night
2018-05-03 19:50:23.357,OUT,night
2018-05-03 19:50:26.060,IN,night
2018-05-03 19:50:27.261,OUT,night
2018-05-03 19:50:29.665,IN,night
2018-05-03 19:50:31.467,OUT,night
2018-05-03 19:50:32.069,IN,night
2018-05-03 19:50:33.269,OUT,night
2018-05-03 19:50:33.568,IN,night
2018-05-03 19:50:35.072,OUT,night
2018-05-03 19:50:36.874,IN,night
2018-05-03 19:50:38.676,OUT,night
2018-05-03 19:50:45.582,IN,night
2018-05-03 19:50:47.384,OUT,night
2018-05-03 19:50:49.186,IN,night
2018-05-03 19:50:50.689,OUT,night
2018-05-03 19:50:52.492,IN,night
2018-05-03 19:50:54.294,OUT,night
2018-05-03 19:50:55.793,IN,night
2018-05-03 19:50:57.296,OUT,night
2018-05-03 19:50:59.397,IN,night
2018-05-03 19:51:00.602,OUT,night
2018-05-03 19:51:03.305,IN,night
2018-05-03 19:51:04.206,OUT,night
2018-05-03 19:51:06.606,IN,night
2018-05-03 19:51:08.409,OUT,night
2018-05-03 19:51:09.912,IN,night
2018-05-03 19:51:11.714,OUT,night
2018-05-03 19:51:13.815,IN,night
2018-05-03 19:51:15.318,OUT,night
2018-05-03 19:51:17.121,IN,night
2018-05-03 19:51:18.321,OUT,night
2018-05-03 19:51:21.323,IN,night
2018-05-03 19:51:22.224,OUT,night
2018-05-03 19:51:24.628,IN,night
2018-05-03 19:51:25.829,OUT,night
2018-05-03 19:51:27.930,IN,night
2018-05-03 19:51:29.732,OUT,night
2018-05-03 19:51:30.334,IN,night
2018-05-03 19:51:33.337,OUT,night
2018-05-03 19:51:34.238,IN,night
2018-05-03 19:51:36.642,OUT,night
2018-05-03 19:51:39.042,IN,night
2018-05-03 19:51:39.943,OUT,night
2018-05-03 19:51:42.950,IN,night
2018-05-03 19:51:43.851,OUT,night
2018-05-03 19:51:46.251,IN,night
2018-05-03 19:51:47.152,OUT,night
2018-05-03 19:51:49.253,IN,night
2018-05-03 19:51:51.056,OUT,night
2018-05-03 19:51:52.559,IN,night
2018-05-03 19:51:54.062,OUT,night
2018-05-03 19:51:55.864,IN,night
2018-05-03 19:51:57.667,OUT,night
2018-05-03 19:52:02.770,IN,night
2018-05-03 19:52:03.671,OUT,night
2018-05-03 19:52:05.772,IN,night
2018-05-03 19:52:07.276,OUT,night
2018-05-03 19:52:08.779,IN,night
2018-05-03 19:52:10.581,OUT,night
2018-05-03 19:52:11.179,IN,night
2018-05-03 19:52:13.882,OUT,night
2018-05-03 19:52:15.984,IN,night
2018-05-03 19:52:16.885,OUT,night
2018-05-03 19:52:23.192,IN,night
2018-05-03 19:52:25.298,OUT,night
2018-05-03 19:52:26.498,IN,night
2018-05-03 19:52:28.599,OUT,night
2018-05-03 19:52:31.004,IN,night
2018-05-03 19:52:31.905,OUT,night
2018-05-03 19:52:37.008,IN,night
2018-05-03 19:52:38.810,OUT,night
2018-05-03 19:52:41.813,OUT,night
2018-05-03 19:52:47.219,IN,night
2018-05-03 19:52:48.723,OUT,night
2018-05-03 19:52:50.525,IN,night
2018-05-03 19:52:52.028,OUT,night
2018-05-03 19:52:53.826,IN,night
2018-05-03 19:52:55.329,OUT,night
2018-05-03 19:53:00.437,IN,night
2018-05-03 19:53:01.338,OUT,night
2018-05-03 19:53:02.837,IN,night
