,datetime,type,period
667,2018-05-03 19:48:37.039,OUT,night
668,2018-05-03 19:48:39.140,IN,night
669,2018-05-03 19:48:40.643,OUT,night
670,2018-05-03 19:48:42.744,IN,night
671,2018-05-03 19:48:44.546,OUT,night
672,2018-05-03 19:48:46.951,IN,night
673,2018-05-03 19:48:48.450,OUT,night
674,2018-05-03 19:48:51.755,IN,night
675,2018-05-03 19:48:52.955,OUT,night
676,2018-05-03 19:48:55.360,IN,night
677,2018-05-03 19:48:56.859,OUT,night
678,2018-05-03 19:48:59.263,IN,night
679,2018-05-03 19:49:00.164,OUT,night
680,2018-05-03 19:49:02.868,IN,night
681,2018-05-03 19:49:04.969,OUT,night
682,2018-05-03 19:49:06.169,IN,night
683,2018-05-03 19:49:08.872,OUT,night
684,2018-05-03 19:49:10.076,IN,night
685,2018-05-03 19:49:12.178,OUT,night
686,2018-05-03 19:49:13.681,IN,night
687,2018-05-03 19:49:16.384,OUT,night
688,2018-05-03 19:49:20.288,OUT,night
689,2018-05-03 19:49:22.389,IN,night
690,2018-05-03 19:49:24.490,OUT,night
691,2018-05-03 19:49:26.595,IN,night
692,2018-05-03 19:49:28.398,OUT,night
693,2018-05-03 19:49:30.499,IN,night
694,2018-05-03 19:49:31.400,OUT,night
695,2018-05-03 19:49:33.800,IN,night
696,2018-05-03 19:49:35.303,OUT,night
697,2018-05-03 19:49:36.504,IN,night
698,2018-05-03 19:49:38.609,OUT,night
699,2018-05-03 19:49:40.411,IN,night
700,2018-05-03 19:49:42.811,OUT,night
701,2018-05-03 19:49:43.413,IN,night
702,2018-05-03 19:49:46.117,OUT,night
703,2018-05-03 19:49:47.919,IN,night
704,2018-05-03 19:49:49.418,OUT,night
705,2018-05-03 19:49:51.822,IN,night
706,2018-05-03 19:49:52.724,OUT,night
707,2018-05-03 19:49:55.726,IN,night
708,2018-05-03 19:49:56.930,OUT,night
709,2018-05-03 19:49:59.330,IN,night
710,2018-05-03 19:50:01.432,OUT,night
711,2018-05-03 19:50:02.333,IN,night
712,2018-05-03 19:50:05.036,OUT,night
713,2018-05-03 19:50:05.937,IN,night
714,2018-05-03 19:50:07.739,OUT,night
715,2018-05-03 19:50:10.746,IN,night
716,2018-05-03 19:50:15.550,IN,night
717,2018-05-03 19:50:20.355,OUT,night
718,2018-05-03 19:50:21.555,IN,night
719,2018-05-03 19:50:23.357,OUT,night
720,2018-05-03 19:50:26.060,IN,night
721,2018-05-03 19:50:27.261,OUT,night
722,2018-05-03 19:50:29.665,IN,night
723,2018-05-03 19:50:31.467,OUT,night
724,2018-05-03 19:50:32.069,IN,night
725,2018-05-03 19:50:33.269,OUT,night
726,2018-05-03 19:50:33.568,IN,night
727,2018-05-03 19:50:35.072,OUT,night
728,2018-05-03 19:50:36.874,IN,night
729,2018-05-03 19:50:38.676,OUT,night
730,2018-05-03 19:50:45.582,IN,night
731,2018-05-03 19:50:47.384,OUT,night
732,2018-05-03 19:50:49.186,IN,night
733,2018-05-03 19:50:50.689,OUT,night
734,2018-05-03 19:50:52.492,IN,night
735,2018-05-03 19:50:54.294,OUT,night
736,2018-05-03 19:50:55.793,IN,night
737,2018-05-03 19:50:57.296,OUT,night
738,2018-05-03 19:50:59.397,IN,night
739,2018-05-03 19:51:00.602,OUT,night
740,2018-05-03 19:51:03.305,IN,night
741,2018-05-03 19:51:04.206,OUT,night
742,2018-05-03 19:51:06.606,IN,night
743,2018-05-03 19:51:08.409,OUT,night
744,2018-05-03 19:51:09.912,IN,night
745,2018-05-03 19:51:11.714,OUT,night
746,2018-05-03 19:51:13.815,IN,night
747,2018-05-03 19:51:15.318,OUT,night
748,2018-05-03 19:51:17.121,IN,night
749,2018-05-03 19:51:18.321,OUT,night
750,2018-05-03 19:51:21.323,IN,night
751,2018-05-03 19:51:22.224,OUT,night
752,2018-05-03 19:51:24.628,IN,night
753,2018-05-03 19:51:25.829,OUT,night
754,2018-05-03 19:51:27.930,IN,night
755,2018-05-03 19:51:29.732,OUT,night
756,2018-05-03 19:51:30.334,IN,night
757,2018-05-03 19:51:33.337,OUT,night
758,2018-05-03 19:51:34.238,IN,night
759,2018-05-03 19:51:36.642,OUT,night
760,2018-05-03 19:51:39.042,IN,night
761,2018-05-03 19:51:39.943,OUT,night
762,2018-05-03 19:51:42.950,IN,night
763,2018-05-03 19:51:43.851,OUT,night
764,2018-05-03 19:51:46.251,IN,night
765,2018-05-03 19:51:47.152,OUT,night
766,2018-05-03 19:51:49.253,IN,night
767,2018-05-03 19:51:51.056,OUT,night
768,2018-05-03 19:51:52.559,IN,night
769,2018-05-03 19:51:54.062,OUT,night
770,2018-05-03 19:51:55.864,IN,night
771,2018-05-03 19:51:57.667,OUT,night
772,2018-05-03 19:52:02.770,IN,night
773,2018-05-03 19:52:03.671,OUT,night
774,2018-05-03 19:52:05.772,IN,night
775,2018-05-03 19:52:07.276,OUT,night
776,2018-05-03 19:52:08.779,IN,night
777,2018-05-03 19:52:10.581,OUT,night
778,2018-05-03 19:52:11.179,IN,night
779,2018-05-03 19:52:13.882,OUT,night
780,2018-05-03 19:52:15.984,IN,night
781,2018-05-03 19:52:16.885,OUT,night
782,2018-05-03 19:52:23.192,IN,night
783,2018-05-03 19:52:25.298,OUT,night
784,2018-05-03 19:52:26.498,IN,night
785,2018-05-03 19:52:28.599,OUT,night
786,2018-05-03 19:52:31.004,IN,night
787,2018-05-03 19:52:31.905,OUT,night
788,2018-05-03 19:52:37.008,IN,night
789,2018-05-03 19:52:38.810,OUT,night
790,2018-05-03 19:52:41.813,OUT,night
791,2018-05-03 19:52:47.219,IN,night
792,2018-05-03 19:52:48.723,OUT,night
793,2018-05-03 19:52:50.525,IN,night
794,2018-05-03 19:52:52.028,OUT,night
795,2018-05-03 19:52:53.826,IN,night
796,2018-05-03 19:52:55.329,OUT,night
797,2018-05-03 19:53:00.437,IN,night
798,2018-05-03 19:53:01.338,OUT,night
799,2018-05-03 19:53:02.837,IN,night
